6	 -0.015793	 1.014206	 0.010910	 5
1462172138.816	 14	 -0.422318	 0.518478	 -0.272568	 5
1462172138.826	 14	 -0.399139	 0.737747	 -0.157501	 5
1462172138.836	 14	 -0.279373	 0.933807	 0.065506	 5
1462172138.846	 14	 -0.029678	 1.145569	 0.091019	 5
1462172138.856	 14	 0.257477	 1.381226	 0.026001	 5
1462172138.866	 14	 0.498093	 1.480087	 -0.031448	 5
1462172138.876	 14	 0.575653	 1.451385	 -0.063828	 5
1462172138.886	 14	 0.241562	 1.158218	 0.046463	 5
1462172138.896	 14	 0.002121	 1.072952	 0.194672	 5
1462172138.906	 14	 -0.190475	 1.032288	 0.313766	 5
1462172138.916	 14	 -0.304459	 0.975113	 0.340149	 5
1462172138.926	 14	 -0.317505	 0.906601	 0.266098	 5
1462172138.936	 14	 -0.271362	 0.856644	 0.166122	 5
1462172138.946	 14	 -0.197861	 0.824402	 0.096130	 5
1462172138.956	 14	 -0.113190	 0.835388	 0.034027	 5
1462172138.966	 14	 -0.010895	 0.911545	 0.002426	 5
1462172138.976	 14	 0.074997	 0.984924	 -0.044891	 5
1462172138.986	 14	 0.152542	 1.034164	 -0.048218	 5
1462172138.996	 14	 0.201950	 1.063599	 -0.038834	 5
1462172139.006	 14	 0.249985	 1.084274	 -0.006592	 5
1462172139.016	 14	 0.251755	 1.075928	 0.033234	 5
1462172139.026	 14	 0.244003	 1.043533	 0.055527	 5
1462172139.036	 14	 0.203491	 1.007904	 0.078918	 5
1462172139.046	 14	 0.165909	 0.998688	 0.104019	 5
1462172139.056	 14	 0.120972	 0.988068	 0.113571	 5
1462172139.066	 14	 0.111816	 0.987350	 0.134644	 5
1462172139.076	 14	 0.038055	 0.981293	 0.086838	 5
1462172139.086	 14	 0.010468	 0.955597	 0.067627	 5
1462172139.096	 14	 -0.003571	 0.932037	 0.076065	 5
1462172139.106	 14	 -0.021851	 0.957947	 0.091400	 5
1462172139.116	 14	 -0.019745	 0.977219	 0.110748	 5
1462172139.126	 14	 0.014984	 0.983734	 0.107727	 5
1462172139.136	 14	 0.033707	 0.991806	 0.088165	 5
1462172139.146	 14	 0.034515	 1.004303	 0.074295	 5
1462172139.156	 14	 0.040009	 0.998474	 0.073715	 5
1462172139.166	 14	 0.034225	 0.994965	 0.072586	 5
1462172139.176	 14	 0.026260	 0.997131	 0.068619	 5
1462172139.186	 14	 0.031281	 0.990936	 0.061859	 5
1462172139.196	 14	 0.042145	 0.980255	 0.052841	 5
1462172139.206	 14	 0.061249	 0.971527	 0.058762	 5
1462172139.216	 14	 0.078979	 0.966263	 0.060410	 5
1462172139.226	 14	 0.068497	 0.964264	 0.074692	 5
1462172139.236	 14	 0.055008	 0.962372	 0.070206	 5
1462172139.246	 14	 0.051163	 0.967270	 0.077621	 5
1462172139.256	 14	 0.036301	 0.959885	 0.095093	 5
1462172139.266	 14	 0.046570	 0.962051	 0.086182	 5
1462172139.276	 14	 0.072174	 0.949203	 0.077942	 5
1462172139.286	 14	 0.105469	 0.939194	 0.060516	 5
1462172139.296	 14	 0.139313	 0.949463	 0.022293	 5
1462172139.306	 14	 0.154251	 0.987091	 0.003250	 5
1462172139.316	 14	 0.150024	 1.044968	 -0.013779	 5
1462172139.326	 14	 0.142670	 1.078522	 -0.003845	 5
1462172139.336	 14	 0.124817	 1.085297	 0.012299	 5
1462172139.346	 14	 0.109344	 1.083313	 0.042038	 5
1462172139.356	 14	 0.093567	 1.083527	 0.050903	 5
1462172139.366	 14	 0.079865	 1.118835	 0.036957	 5
1462172139.376	 14	 0.047318	 1.177643	 0.035812	 5
1462172139.386	 14	 0.037811	 1.270325	 0.048401	 5
1462172139.396	 14	 0.050278	 1.363403	 0.097229	 5
1462172139.406	 14	 0.097427	 1.411377	 0.145554	 5
1462172139.416	 14	 0.144806	 1.411469	 0.104034	 5
1462172139.426	 14	 0.142670	 1.379745	 0.050751	 5
1462172139.436	 14	 0.055832	 1.354202	 0.047592	 5
1462172139.446	 14	 -0.048645	 1.291794	 0.048676	 5
1462172139.456	 14	 -0.140625	 1.241058	 0.020340	 5
